gene_name,x,y
TRIM24,-0.7605235,-1.1919044
RPA3,-1.7385606,-1.0719149
KDM2B,-4.211969,-0.79614836
SP110,-2.3389592,0.2734371
ARID2,3.8144524,-0.91400003
DPY30,-1.4454108,-2.958828
ARID1B,2.975643,-1.5366892
KDM3B,1.8388937,-0.96894646
PHF10,3.620326,-1.0329722
PRDM5,1.2027866,-0.7161449
PHC2,-3.4527323,-1.3906965
JARID2,-3.87528,3.4257565
SMARCA2,3.4481766,-1.0480663
CXXC1,-1.5152999,-3.205206
SSRP1,-1.8618162,-0.18704244
MSL3,-0.5399451,2.2763848
SETD7,0.09100308,-0.9180886
KDM8,-1.6608269,0.3440266
SFMBT2,-0.23066689,2.633403
PCGF1,-4.199185,-0.8326308
BRD4,0.53234106,1.3949574
MTA2,-2.5975938,2.4230864
EHMT2,-3.271837,0.71052516
MEN1,-0.8654707,-3.312057
MORF4L1,-2.077346,3.6979606
PRDM16,-0.11141687,-1.3889647
MTA3,-3.0535483,2.0743396
KAT8,-1.037542,-3.0673316
L3MBTL4,-0.06800837,2.2069533
POLR2B,-1.2501631,0.65210205
ELP3,1.7450068,-1.1017729
WDR82,-1.903893,-2.317069
SCML2,-3.8811147,-2.0703833
ZMYND11,-1.412739,-1.743923
NAP1L1,-1.9724555,-0.24193461
EZH2,-3.4606695,2.8849137
PRDM4,-0.4852198,-1.4049659
FBXL19,0.29073554,0.7155099
BRD7,3.7163947,-0.88314426
SMARCA5,-2.3169446,1.650964
HDAC1,-1.893042,2.169412
CHD5,-3.3629365,2.119583
EED,-3.754324,2.9873836
GTF3C4,-1.4859288,0.59056085
ZMYND8,-1.872025,3.2780473
KDM2A,-1.6366978,-3.2716331
PARP1,-0.7131226,-0.54135734
HDAC6,-0.59336615,-2.144707
INO80,1.6656046,-0.28145406
RNF40,-1.5073512,2.0309954
SETDB1,-2.23347,0.85344434
KDM4A,-0.47658822,-0.66570586
MLL2,-1.1655749,-3.7440953
KDM1A,-1.211073,2.2404478
SETD1A,-0.8288693,-3.2976782
PCGF6,-3.7571392,-0.30350885
PADI4,1.8580912,0.08340221
H2AFZ,-0.80297446,-1.0131637
PHF19,-4.1010523,3.4262595
PHC1,-4.1417584,-1.7090327
WHSC1L1,-3.7887225,0.5959007
PRMT5,1.0319886,-1.6378849
PRMT1,-0.35439765,-0.8542951
BOP1,-0.6737936,1.4654769
RNF2,-4.0917315,-1.2998452
SETD8,-3.1449106,0.53095037
SIRT1,-1.9082496,1.1991026
SMARCA4,3.5793102,-0.45820174
L3MBTL2,-3.398176,-0.005580317
HAT1,-2.4504158,2.7296724
EZH1,-3.7621589,3.4567719
PHF20,-0.46167985,-3.1302454
PRKAA2,-2.655818,-0.25978044
PBRM1,2.7905598,-0.92454
SMARCC2,3.1360905,-0.38506863
PHC3,-4.4118414,-1.468255
KDM5B,-0.7212932,0.09868091
SETD4,-0.5635742,-1.1355062
PHF17,1.9473563,2.1500225
KAT7,2.0295568,1.8289309
ARID1A,3.4053695,-1.2768812
L3MBTL1,0.041683167,1.4700537
WDR5,-0.6276877,-3.6207023
SETMAR,0.68177515,-1.427909
CBX6,-4.3625727,-1.6298493
BRD1,2.1050837,1.6433483
BRD8,-2.2412255,3.6630073
PHF1,-3.848453,3.1593156
KDM5A,-1.9999845,3.7488093
KDM6B,0.33750454,-1.9073929
SFMBT1,-0.79487854,2.4645076
DOT1L,-0.17236863,-1.3001012
ATRX,-1.1062804,1.5375912
KDM5C,0.41871476,-2.1371043
KDM4B,0.46672603,0.3756317
SMARCD2,3.4213912,-0.3437516
SP100,-1.4840624,-1.1847942
KDM4D,2.6749256,0.07709705
ACTB,0.87356734,-0.8163251
SIN3B,-2.4809954,3.4189875
CHD1,-2.6574578,-1.9397843
SMYD3,0.21592699,-0.23040418
SMYD5,-0.37614462,-0.4782806
EP400,-2.208525,3.5333054
JHDM1D,0.18874982,-1.7706013
FKBP5,-0.91269493,1.016832
SCMH1,-3.8182404,-1.8893116
BRD9,3.6197155,-1.2890233
PRMT3,0.81525993,-1.8489423
SIN3A,-2.219949,2.4809325
GTF2H1,0.7906513,0.2824349
CHD3,-3.1088853,2.2162147
KDM4C,2.2360926,0.11973536
CHAF1B,-3.5160983,1.3741914
PRDM9,0.517121,-1.1504266
L3MBTL3,-0.6080434,2.4945362
PCMT1,1.4653753,0.61002946
RING1,-3.66066,-0.9369523
BRPF3,2.0718603,1.9446888
PHF8,0.52324677,-0.4339346
USP27X,1.12869,-3.6907995
PAF1,-0.9677385,0.053800397
USP51,0.9184127,-3.5423565
HDAC2,-1.8998481,2.596234
ING5,1.4278705,1.661186
CHD4,-3.012612,1.3748002
SMARCA1,-2.62412,1.8019936
HCFC1,-0.880481,-2.9310954
CBX4,-2.8029902,-1.4750043
PRDM1,-0.5976677,-2.206037
CBX2,-4.139973,-1.554881
BPTF,-2.963891,2.2784483
RBBP7,-2.811417,3.0593984
CARM1,1.1691674,1.3041996
WHSC1,0.7411379,-1.3266762
PRDM11,0.6470361,-0.49617758
MBD4,0.26187253,-1.1380409
CHD8,-0.13790137,-1.8353565
MLL3,-0.2911138,-2.6386216
PHF20L1,0.004652987,-2.550216
CBX7,-3.628048,-1.8171468
CBX3,-3.0642335,0.18202813
CHAF1A,-3.4968722,1.0275937
MBD3,-2.5586615,2.3418384
AFF4,-0.7751883,0.946751
HLTF,-2.0770383,-1.0219003
PRDM13,0.8138038,-1.2033637
SUV420H2,-2.6446705,-1.3283428
SMARCD3,3.1667547,-0.9988568
HIRA,-2.7603316,2.777844
CBX8,-3.9154832,-1.5166173
UBE2A,0.023811921,-0.91853875
KDM6A,-1.3619477,-3.7905345
SMYD2,-2.9607656,-0.6388798
TRIM28,-0.28404576,0.29486844
KAT2B,0.99575853,-4.001331
SMARCE1,3.0557468,-0.5104605
MTF2,-3.6291733,3.1240654
MECP2,-2.0300643,-1.2093383
SMYD1,-0.16610198,-0.23939668
KDM3A,1.482704,-1.1044714
KAT2A,0.7030543,-3.797622
CBX1,-3.564172,0.57824945
KAT6B,1.9960809,1.4937013
PAXIP1,-0.99754685,-3.5262053
ASH2L,-1.4221025,-3.4172964
NSD1,-2.3797026,-0.5220896
SMYD4,0.29622832,-1.6317532
PSIP1,-1.8744686,0.025364812
MECOM,0.8667579,-1.1923329
MBD1,-2.0938416,1.2104378
NCOR1,-0.67659307,-2.2687664
AFF1,-1.2725353,1.0484625
BMI1,-3.8755422,-1.1570557
GTF2F1,0.69316554,0.20587802
CHD2,-2.4664488,-1.7023592
RBBP5,-1.4704399,-3.4738562
SMARCD1,3.126763,-0.71046174
SIRT2,0.19183572,-1.5451134
MBD2,-3.0151699,2.224961
BRD2,-0.13919407,1.5721489
BRCA1,0.57551575,-1.3412461
SUPT16H,-1.7916873,0.15243313
SUV39H1,-2.4861898,0.6841174
EHMT1,-3.3561852,1.0599973
TRIM33,-1.110985,-0.14667243
PRMT8,-0.25747865,-0.49817768
RBBP4,-3.0022397,2.664759
JMJD4,1.0115712,-2.0187278
KAT6A,1.876434,1.9350847
DMAP1,-1.8468429,3.2054238
BAZ1B,-1.2617381,1.0976202
BAZ2A,-1.8061228,1.5481563
PRDM2,-1.0102986,0.35076427
ING4,2.3603656,1.8245511
USP22,0.9479338,-3.8355434
SMARCC1,3.3648148,-0.27052727
BRPF1,1.6100125,1.9248326
PRMT2,0.8067554,-0.040884685
CBX5,-2.77009,0.70569617
PCGF5,-3.9996731,-0.6941809
SUV420H1,-1.2843567,-0.25362572
JMJD6,-1.7172481,-0.4043422
