DB_Object_Symbol,GO_ID,namespace,name,def
Sirt1,GO:0000012,biological_process,single strand break repair,"""The repair of single strand breaks in DNA. Repair of such breaks is mediated by the same enzyme systems as are used in base excision repair."" [http://www.ultranet.com/~jkimball/BiologyPages/D/DNArepair.html]"
Bop1,GO:0000027,biological_process,ribosomal large subunit assembly,"""The aggregation, arrangement and bonding together of constituent RNAs and proteins to form the large ribosomal subunit."" [GOC:jl]"
Ino80,GO:0000070,biological_process,mitotic sister chromatid segregation,"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]"
Hira,GO:0000070,biological_process,mitotic sister chromatid segregation,"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]"
Atm,GO:0000077,biological_process,DNA damage checkpoint,"""A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds."" [GOC:mtg_cell_cycle]"
Clock,GO:0000077,biological_process,DNA damage checkpoint,"""A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds."" [GOC:mtg_cell_cycle]"
Atr,GO:0000077,biological_process,DNA damage checkpoint,"""A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds."" [GOC:mtg_cell_cycle]"
Atr,GO:0000077,biological_process,DNA damage checkpoint,"""A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds."" [GOC:mtg_cell_cycle]"
Dot1l,GO:0000077,biological_process,DNA damage checkpoint,"""A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds."" [GOC:mtg_cell_cycle]"
Atm,GO:0000077,biological_process,DNA damage checkpoint,"""A cell cycle checkpoint that regulates progression through the cell cycle in response to DNA damage. A DNA damage checkpoint may blocks cell cycle progression (in G1, G2 or metaphase) or slow the rate at which S phase proceeds."" [GOC:mtg_cell_cycle]"
