DB_Object_Symbol,GO_ID,namespace,name,def
Ercc5,GO:0000109,cellular_component,nucleotide-excision repair complex,"""Any complex formed of proteins that act in nucleotide-excision repair."" [PMID:10915862]"
Hdac10,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac10,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac1,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac1,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Ncor2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac11,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Ncor1,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac3,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac9,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac8,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac3,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac3,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac7,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac6,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac4,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac11,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Cbx5,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac5,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac1,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Ncor1,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Mta2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Mbd2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Mecom,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Ncor2,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Hdac8,GO:0000118,cellular_component,histone deacetylase complex,"""A protein complex that possesses histone deacetylase activity."" [GOC:mah]"
Kat7,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Kat2b,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Phf20,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Ing4,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Kat8,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Hcfc1,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Kat6a,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Kat2a,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Wdr5,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Msl3,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Kat7,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Morf4l1,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Ep300,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Phf10,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Crebbp,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Jade1,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Kat8,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Kat6b,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Phf20,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Kat5,GO:0000123,cellular_component,histone acetyltransferase complex,"""A protein complex that possesses histone acetyltransferase activity."" [GOC:mah]"
Usp22,GO:0000124,cellular_component,SAGA complex,"""A SAGA-type histone acetyltransferase complex that contains Spt8 (in budding yeast) or a homolog thereof; additional polypeptides include Spt group, consisting of Spt7, Spt3, and Spt20/Ada5, which interact with the TATA-binding protein (TBP); the Ada group, consisting of Ada1, Ada2, Ada3, Ada4/Gcn5, and Ada5/Spt20, which is functionally linked to the nucleosomal HAT activity; Tra1, an ATM/PI-3 kinase-related protein that targets DNA-bound activators for recruitment to promoters; the TBP-associated factor (TAF) proteins, consisting of Taf5, Taf6, Taf9, Taf10, and Taf12, which mediate nucleosomal HAT activity and are thought to help recruit the basal transcription machinery; the ubiquitin specifc protease Ubp-8."" [PMID:10637607, PMID:17337012, PMID:19056896, PMID:20838651]"
Gtf3c4,GO:0000127,cellular_component,transcription factor TFIIIC complex,"""A heterotrimeric transcription factor complex that is involved in regulating transcription from RNA polymerase III (Pol III) promoters. TFIIIC contains three conserved subunits that associate with the proximal Pol III promoter element, and additional subunits that associate with sequence elements downstream of the promoter and are more diverged among species. It also functions as a boundary element to partition genome content into distinct domains outside Pol III promoter regions."" [GOC:mah, GOC:vw, PMID:11433012, PMID:16751097]"
Gtf3c4,GO:0000127,cellular_component,transcription factor TFIIIC complex,"""A heterotrimeric transcription factor complex that is involved in regulating transcription from RNA polymerase III (Pol III) promoters. TFIIIC contains three conserved subunits that associate with the proximal Pol III promoter element, and additional subunits that associate with sequence elements downstream of the promoter and are more diverged among species. It also functions as a boundary element to partition genome content into distinct domains outside Pol III promoter regions."" [GOC:mah, GOC:vw, PMID:11433012, PMID:16751097]"
Rnf217,GO:0000151,cellular_component,ubiquitin ligase complex,"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"
Ring1,GO:0000151,cellular_component,ubiquitin ligase complex,"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"
Rnf2,GO:0000151,cellular_component,ubiquitin ligase complex,"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"
Rnf2,GO:0000151,cellular_component,ubiquitin ligase complex,"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"
Rnf20,GO:0000151,cellular_component,ubiquitin ligase complex,"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"
Cbx8,GO:0000151,cellular_component,ubiquitin ligase complex,"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"
Ube2e1,GO:0000151,cellular_component,ubiquitin ligase complex,"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"
Rnf40,GO:0000151,cellular_component,ubiquitin ligase complex,"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"
Bmi1,GO:0000151,cellular_component,ubiquitin ligase complex,"""A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex."" [GOC:jh2, PMID:9529603]"
Men1,GO:0000165,biological_process,MAPK cascade,"""An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."" [GOC:bf, GOC:mtg_signaling_feb11, PMID:20811974, PMID:9561267]"
Smarca5,GO:0000183,biological_process,chromatin silencing at rDNA,"""Repression of transcription of ribosomal DNA by altering the structure of chromatin."" [PMID:10219245]"
Suv39h1,GO:0000183,biological_process,chromatin silencing at rDNA,"""Repression of transcription of ribosomal DNA by altering the structure of chromatin."" [PMID:10219245]"
Sirt1,GO:0000183,biological_process,chromatin silencing at rDNA,"""Repression of transcription of ribosomal DNA by altering the structure of chromatin."" [PMID:10219245]"
Baz2a,GO:0000183,biological_process,chromatin silencing at rDNA,"""Repression of transcription of ribosomal DNA by altering the structure of chromatin."" [PMID:10219245]"
Baz2a,GO:0000183,biological_process,chromatin silencing at rDNA,"""Repression of transcription of ribosomal DNA by altering the structure of chromatin."" [PMID:10219245]"
Baz2a,GO:0000183,biological_process,chromatin silencing at rDNA,"""Repression of transcription of ribosomal DNA by altering the structure of chromatin."" [PMID:10219245]"
Baz2a,GO:0000183,biological_process,chromatin silencing at rDNA,"""Repression of transcription of ribosomal DNA by altering the structure of chromatin."" [PMID:10219245]"
Baz2a,GO:0000183,biological_process,chromatin silencing at rDNA,"""Repression of transcription of ribosomal DNA by altering the structure of chromatin."" [PMID:10219245]"
Gadd45a,GO:0000185,biological_process,activation of MAPKKK activity,"""Any process that initiates the activity of the inactive enzyme MAP kinase kinase kinase (MAPKKK)."" [PMID:9561267]"
Gadd45b,GO:0000185,biological_process,activation of MAPKKK activity,"""Any process that initiates the activity of the inactive enzyme MAP kinase kinase kinase (MAPKKK)."" [PMID:9561267]"
Gadd45b,GO:0000185,biological_process,activation of MAPKKK activity,"""Any process that initiates the activity of the inactive enzyme MAP kinase kinase kinase (MAPKKK)."" [PMID:9561267]"
Gadd45a,GO:0000185,biological_process,activation of MAPKKK activity,"""Any process that initiates the activity of the inactive enzyme MAP kinase kinase kinase (MAPKKK)."" [PMID:9561267]"
Gadd45b,GO:0000186,biological_process,activation of MAPKK activity,"""The initiation of the activity of the inactive enzyme MAP kinase kinase (MAPKK)."" [PMID:9561267]"
Ube2e1,GO:0000209,biological_process,protein polyubiquitination,"""Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain."" [ISBN:0815316194]"
Ube2b,GO:0000209,biological_process,protein polyubiquitination,"""Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain."" [ISBN:0815316194]"
Rnf20,GO:0000209,biological_process,protein polyubiquitination,"""Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain."" [ISBN:0815316194]"
